  No.   E(hr.)    dos(hr.)       E(eV)          dos(eV)    sum
   2676  -0.6711      0.00000000    -14.4574    0.0000000000  360.0000
   2686  -0.6701      0.00000000    -14.4302    0.0000000000  360.0000
   2696  -0.6691      0.00000000    -14.4030    0.0000000000  360.0000
   2706  -0.6681      0.00000000    -14.3758    0.0000000000  360.0000
   2716  -0.6671      0.00000000    -14.3486    0.0000000000  360.0000
   2726  -0.6661      0.00000000    -14.3214    0.0000000000  360.0000
   2736  -0.6651      0.00000000    -14.2941    0.0000000000  360.0000
   2746  -0.6641      0.00000000    -14.2669    0.0000000000  360.0000
   2756  -0.6631      0.00000000    -14.2397    0.0000000000  360.0000
   2766  -0.6621      0.00000000    -14.2125    0.0000000000  360.0000
   2776  -0.6611      0.00000000    -14.1853    0.0000000000  360.0000
   2786  -0.6601      0.00000000    -14.1581    0.0000000000  360.0000
   2796  -0.6591      0.00000000    -14.1309    0.0000000000  360.0000
   2806  -0.6581      0.00000000    -14.1037    0.0000000000  360.0000
   2816  -0.6571      0.00000000    -14.0765    0.0000000000  360.0000
   2826  -0.6561      0.00000000    -14.0492    0.0000000000  360.0000
   2836  -0.6551      0.00000000    -14.0220    0.0000000000  360.0000
   2846  -0.6541      0.00000000    -13.9948    0.0000000000  360.0000
   2856  -0.6531      0.00000000    -13.9676    0.0000000000  360.0000
   2866  -0.6521      0.00000000    -13.9404    0.0000000000  360.0000
   2876  -0.6511      0.00000000    -13.9132    0.0000000000  360.0000
   2886  -0.6501      0.00000000    -13.8860    0.0000000000  360.0000
   2896  -0.6491      0.00000000    -13.8588    0.0000000000  360.0000
   2906  -0.6481      0.00000000    -13.8315    0.0000000000  360.0000
   2916  -0.6471      0.00000000    -13.8043    0.0000000000  360.0000
   2926  -0.6461      0.00000000    -13.7771    0.0000000000  360.0000
   2936  -0.6451      0.00000000    -13.7499    0.0000000000  360.0000
   2946  -0.6441      0.00000000    -13.7227    0.0000000000  360.0000
   2956  -0.6431      0.00000000    -13.6955    0.0000000000  360.0000
   2966  -0.6421      0.00000000    -13.6683    0.0000000000  360.0000
   2976  -0.6411      0.00000000    -13.6411    0.0000000000  360.0000
   2986  -0.6401      0.00000000    -13.6139    0.0000000000  360.0000
   2996  -0.6391      0.00000000    -13.5866    0.0000000000  360.0000
   3006  -0.6381      0.00000000    -13.5594    0.0000000000  360.0000
   3016  -0.6371      0.00000000    -13.5322    0.0000000000  360.0000
   3026  -0.6361      0.00000000    -13.5050    0.0000000000  360.0000
   3036  -0.6351      0.00000000    -13.4778    0.0000000000  360.0000
   3046  -0.6341      0.00000000    -13.4506    0.0000000000  360.0000
   3056  -0.6331      0.00000000    -13.4234    0.0000000000  360.0000
   3066  -0.6321      0.00000000    -13.3962    0.0000000000  360.0000
   3076  -0.6311      0.00000000    -13.3690    0.0000000000  360.0000
   3086  -0.6301      0.00000000    -13.3417    0.0000000000  360.0000
