  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
   1166  -0.83210      0.0000000000    -18.941240      0.0000000000       10.0000000000
   1176  -0.83110      0.0000000000    -18.914029      0.0000000000       10.0000000000
   1186  -0.83010      0.0000000000    -18.886818      0.0000000000       10.0000000000
   1196  -0.82910      0.0000000000    -18.859606      0.0000000000       10.0000000000
   1206  -0.82810      0.0000000000    -18.832395      0.0000000000       10.0000000000
   1216  -0.82710      0.0000000000    -18.805183      0.0000000000       10.0000000000
   1226  -0.82610      0.0000000000    -18.777972      0.0000000000       10.0000000000
   1236  -0.82510      0.0000000000    -18.750761      0.0000000000       10.0000000000
   1246  -0.82410      0.0000000000    -18.723549      0.0000000000       10.0000000000
   1256  -0.82310      0.0000000000    -18.696338      0.0000000000       10.0000000000
   1266  -0.82210      0.0000000000    -18.669126      0.0000000000       10.0000000000
   1276  -0.82110      0.0000000000    -18.641915      0.0000000000       10.0000000000
   1286  -0.82010      0.0000000000    -18.614704      0.0000000000       10.0000000000
   1296  -0.81910      0.0000000000    -18.587492      0.0000000000       10.0000000000
   1306  -0.81810      0.0000000000    -18.560281      0.0000000000       10.0000000000
   1316  -0.81710      0.0000000000    -18.533069      0.0000000000       10.0000000000
   1326  -0.81610      0.0000000000    -18.505858      0.0000000000       10.0000000000
   1336  -0.81510      0.0000000000    -18.478647      0.0000000000       10.0000000000
   1346  -0.81410      0.0000000000    -18.451435      0.0000000000       10.0000000000
   1356  -0.81310      0.0000000000    -18.424224      0.0000000000       10.0000000000
   1366  -0.81210      0.0000000000    -18.397012      0.0000000000       10.0000000000
   1376  -0.81110      0.0000000000    -18.369801      0.0000000000       10.0000000000
   1386  -0.81010      0.0000000000    -18.342590      0.0000000000       10.0000000000
   1396  -0.80910      0.0000000000    -18.315378      0.0000000000       10.0000000000
   1406  -0.80810      0.0000000000    -18.288167      0.0000000000       10.0000000000
   1416  -0.80710      0.0000000000    -18.260955      0.0000000000       10.0000000000
   1426  -0.80610      0.0000000000    -18.233744      0.0000000000       10.0000000000
   1436  -0.80510      0.0000000000    -18.206533      0.0000000000       10.0000000000
   1446  -0.80410      0.0000000000    -18.179321      0.0000000000       10.0000000000
   1456  -0.80310      0.0000000000    -18.152110      0.0000000000       10.0000000000
   1466  -0.80210      0.0000000000    -18.124898      0.0000000000       10.0000000000
   1476  -0.80110      0.0000000000    -18.097687      0.0000000000       10.0000000000
   1486  -0.80010      0.0000000000    -18.070476      0.0000000000       10.0000000000
   1496  -0.79910      0.0000000000    -18.043264      0.0000000000       10.0000000000
   1506  -0.79810      0.0000000000    -18.016053      0.0000000000       10.0000000000
   1516  -0.79710      0.0000000000    -17.988841      0.0000000000       10.0000000000
   1526  -0.79610      0.0000000000    -17.961630      0.0000000000       10.0000000000
   1536  -0.79510      0.0000000000    -17.934419      0.0000000000       10.0000000000
   1546  -0.79410      0.0000000000    -17.907207      0.0000000000       10.0000000000
   1556  -0.79310      0.0000000000    -17.879996      0.0000000000       10.0000000000
   1566  -0.79210      0.0000000000    -17.852784      0.0000000000       10.0000000000
   1576  -0.79110      0.0000000000    -17.825573      0.0000000000       10.0000000000
   1586  -0.79010      0.0000000000    -17.798362      0.0000000000       10.0000000000
   1596  -0.78910      0.0000000000    -17.771150      0.0000000000       10.0000000000
   1606  -0.78810      0.0000000000    -17.743939      0.0000000000       10.0000000000
   1616  -0.78710      0.0000000000    -17.716728      0.0000000000       10.0000000000
   1626  -0.78610      0.0000000000    -17.689516      0.0000000000       10.0000000000
   1636  -0.78510      0.0000000000    -17.662305      0.0000000000       10.0000000000
   1646  -0.78410      0.0000000000    -17.635093      0.0000000000       10.0000000000
   1656  -0.78310      0.0000000000    -17.607882      0.0000000000       10.0000000000
   1666  -0.78210      0.0000000000    -17.580671      0.0000000000       10.0000000000
   1676  -0.78110      0.0000000000    -17.553459      0.0000000000       10.0000000000
   1686  -0.78010      0.0000000000    -17.526248      0.0000000000       10.0000000000
   1696  -0.77910      0.0000000000    -17.499036      0.0000000000       10.0000000000
   1706  -0.77810      0.0000000000    -17.471825      0.0000000000       10.0000000000
   1716  -0.77710      0.0000000000    -17.444614      0.0000000000       10.0000000000
   1726  -0.77610      0.0000000000    -17.417402      0.0000000000       10.0000000000
   1736  -0.77510      0.0000000000    -17.390191      0.0000000000       10.0000000000
   1746  -0.77410      0.0000000000    -17.362979      0.0000000000       10.0000000000
   1756  -0.77310      0.0000000000    -17.335768      0.0000000000       10.0000000000
   1766  -0.77210      0.0000000000    -17.308557      0.0000000000       10.0000000000
   1776  -0.77110      0.0000000000    -17.281345      0.0000000000       10.0000000000
   1786  -0.77010      0.0000000000    -17.254134      0.0000000000       10.0000000000
   1796  -0.76910      0.0000000000    -17.226922      0.0000000000       10.0000000000
   1806  -0.76810      0.0000000000    -17.199711      0.0000000000       10.0000000000
   1816  -0.76710      0.0000000000    -17.172500      0.0000000000       10.0000000000
   1826  -0.76610      0.0000000000    -17.145288      0.0000000000       10.0000000000
   1836  -0.76510      0.0000000000    -17.118077      0.0000000000       10.0000000000
   1846  -0.76410      0.0000000000    -17.090865      0.0000000000       10.0000000000
   1856  -0.76310      0.0000000000    -17.063654      0.0000000000       10.0000000000
   1866  -0.76210      0.0000000000    -17.036443      0.0000000000       10.0000000000
   1876  -0.76110      0.0000000000    -17.009231      0.0000000000       10.0000000000
   1886  -0.76010      0.0000000000    -16.982020      0.0000000000       10.0000000000
   1896  -0.75910      0.0000000000    -16.954808      0.0000000000       10.0000000000
   1906  -0.75810      0.0000000000    -16.927597      0.0000000000       10.0000000000
   1916  -0.75710      0.0000000000    -16.900386      0.0000000000       10.0000000000
   1926  -0.75610      0.0000000000    -16.873174      0.0000000000       10.0000000000
   1936  -0.75510      0.0000000000    -16.845963      0.0000000000       10.0000000000
   1946  -0.75410      0.0000000000    -16.818751      0.0000000000       10.0000000000
   1956  -0.75310      0.0000000000    -16.791540      0.0000000000       10.0000000000
   1966  -0.75210      0.0000000000    -16.764329      0.0000000000       10.0000000000
   1976  -0.75110      0.0000000000    -16.737117      0.0000000000       10.0000000000
   1986  -0.75010      0.0000000000    -16.709906      0.0000000000       10.0000000000
   1996  -0.74910      0.0000000000    -16.682694      0.0000000000       10.0000000000
